unix,a,b,c,v,p,t,l,h,o
1608868966.847648,23456.00000,23455.90000,23456.00000,435.12004335,23582.79519,3061,23410.80000,23799.90000,2
1608868977.066709,23456.00000,23455.90000,23455.90000,435.12204335,23582.79461,3062,23410.80000,23799.90000,2
1608868987.2603688,23456.00000,23455.90000,23455.90000,435.12204335,23582.79461,3062,23410.80000,23799.90000,2
1608868997.4730601,23456.00000,23455.90000,23455.90000,435.12204335,23582.79461,3062,23410.80000,23799.90000,2
1608869007.6018822,23456.00000,23455.90000,23455.90000,435.12204335,23582.79461,3062,23410.80000,23799.90000,2
1608869018.001215,23456.10000,23456.00000,23456.00000,436.27816246,23582.45860,3066,23410.80000,23799.90000,2
1608869028.2006059,23460.00000,23459.90000,23460.00000,436.78918110,23582.31464,3071,23410.80000,23799.90000,2
1608869038.316839,23460.00000,23459.90000,23460.00000,437.63620179,23582.07791,3074,23410.80000,23799.90000,2
1608869048.523793,23460.00000,23459.90000,23460.00000,438.36940883,23581.87372,3082,23410.80000,23799.90000,2
1608869058.66407,23463.50000,23463.40000,23461.30000,439.25628595,23581.62766,3087,23410.80000,23799.90000,2
1608869068.799901,23463.50000,23463.40000,23461.30000,439.25628595,23581.62766,3087,23410.80000,23799.90000,2
1608869078.9666822,23463.50000,23463.40000,23463.50000,439.26237840,23581.62602,3088,23410.80000,23799.90000,2
1608869089.1046138,23475.00000,23474.90000,23464.30000,439.40818066,23581.58682,3091,23410.80000,23799.90000,2
1608869099.303537,23475.00000,23474.90000,23475.00000,439.70886326,23581.51394,3094,23410.80000,23799.90000,2
1608869109.505655,23475.00000,23474.90000,23475.00000,439.93336326,23581.45958,3097,23410.80000,23799.90000,2
1608869119.634618,23495.60000,23495.50000,23480.00000,443.43752456,23580.61864,3100,23410.80000,23799.90000,2
1608869129.768079,23495.60000,23495.50000,23480.00000,443.43752456,23580.61864,3100,23410.80000,23799.90000,2
1608869139.901304,23500.00000,23499.90000,23500.00000,443.53801186,23580.60035,3103,23410.80000,23799.90000,2
1608869150.042078,23500.00000,23499.90000,23500.00000,443.53801186,23580.60035,3103,23410.80000,23799.90000,2
1608869160.2765398,23500.00000,23499.90000,23500.00000,443.53801186,23580.60035,3103,23410.80000,23799.90000,2
1608869170.5087922,23500.00000,23499.90000,23500.00000,443.64571349,23580.58078,3105,23410.80000,23799.90000,2
1608869180.710117,23500.00000,23499.90000,23500.00000,443.65308795,23580.57944,3106,23410.80000,23799.90000,2
1608869190.9187021,23500.00000,23499.90000,23500.00000,443.65308795,23580.57944,3106,23410.80000,23799.90000,2
1608869201.119364,23500.00000,23499.90000,23500.00000,443.65873494,23580.57842,3107,23410.80000,23799.90000,2
1608869211.31879,23500.00000,23499.90000,23500.00000,443.65873494,23580.57842,3107,23410.80000,23799.90000,2
1608869221.4391701,23500.00000,23499.90000,23500.00000,443.65873494,23580.57842,3107,23410.80000,23799.90000,2
1608869231.64466,23500.00000,23499.90000,23500.00000,443.65873494,23580.57842,3107,23410.80000,23799.90000,2
