unix,a,b,c,v,p,t,l,h,o
1609087460.374253,26869.50000,26869.40000,26882.50000,10591.34028179,27267.27210,58945,26245.90000,28353.20000,2
1609087471.4002519,26836.80000,26836.70000,26836.80000,10591.65257780,27267.25971,58951,26245.90000,28353.20000,2
1609087482.03843,26869.50000,26869.40000,26860.00000,10594.98969238,27267.12668,58965,26245.90000,28353.20000,2
1609087492.671464,26870.90000,26870.80000,26870.90000,10595.01091238,27267.12589,58971,26245.90000,28353.20000,2
1609087503.294942,26851.40000,26851.30000,26852.60000,10598.04764555,27267.00896,58992,26245.90000,28353.20000,2
1609087513.906673,26877.50000,26869.10000,26864.10000,10598.24493134,27267.00132,59003,26245.90000,28353.20000,2
1609087524.53925,26880.00000,26879.90000,26880.00000,10598.28643134,27266.99980,59005,26245.90000,28353.20000,2
1609087535.2815769,26872.00000,26871.90000,26879.60000,10602.83363400,27266.82978,59014,26245.90000,28353.20000,2
1609087545.942177,26836.10000,26836.00000,26850.00000,10604.16518219,27266.77836,59025,26245.90000,28353.20000,2
1609087556.654795,26834.70000,26834.60000,26834.50000,10604.41707219,27266.76804,59036,26245.90000,28353.20000,2
1609087567.417412,26843.80000,26843.70000,26841.90000,10604.42061482,27266.76790,59038,26245.90000,28353.20000,2
1609087579.5369222,26852.50000,26852.40000,26852.50000,10606.99572371,27266.66700,59056,26245.90000,28353.20000,2
1609087632.114084,26861.80000,26861.70000,26861.80000,10617.23532352,27266.26282,59100,26245.90000,28353.20000,2
1609087644.628185,26843.90000,26832.80000,26833.50000,10617.57564447,27266.24902,59113,26245.90000,28353.20000,2
1609087656.012388,26835.00000,26834.90000,26837.30000,10617.92842072,27266.23463,59130,26245.90000,28353.20000,2
1609087667.230145,26837.60000,26837.50000,26837.50000,10617.95820426,27266.23345,59132,26245.90000,28353.20000,2
1609087678.384244,26837.60000,26837.50000,26837.60000,10618.00799355,27266.23145,59134,26245.90000,28353.20000,2
1609087690.4775639,26800.50000,26800.40000,26800.50000,10618.53924954,27266.20956,59144,26245.90000,28353.20000,2
1609087702.5887182,26792.40000,26792.30000,26792.40000,10619.35038968,27266.17393,59156,26245.90000,28353.20000,2
1609087713.972818,26758.50000,26758.40000,26755.50000,10621.19461261,27266.08674,59177,26245.90000,28353.20000,2
1609087725.148593,26773.00000,26767.30000,26758.10000,10621.91776224,27266.05213,59183,26245.90000,28353.20000,2
1609087736.284823,26779.10000,26779.00000,26785.00000,10622.48521485,27266.02622,59185,26245.90000,28353.20000,2
1609087747.567081,26807.90000,26799.20000,26818.90000,10622.50521485,27266.02538,59187,26245.90000,28353.20000,2
1609087838.13275,26806.50000,26806.40000,26806.50000,10627.22345577,27265.84049,59236,26245.90000,28353.20000,2
1609087901.129882,26730.60000,26724.70000,26730.60000,10630.55319306,27265.68327,59287,26245.90000,28353.20000,2
1609087934.6175559,26714.70000,26714.60000,26714.70000,10636.25634002,27265.39116,59323,26245.90000,28353.20000,2
1609087983.125321,26682.10000,26682.00000,26650.60000,10650.44084380,27264.56650,59439,26245.90000,28353.20000,2
1609087995.45313,26709.60000,26709.50000,26709.50000,10652.12350395,27264.47742,59456,26245.90000,28353.20000,2
1609088006.919872,26701.80000,26690.40000,26669.80000,10654.01571249,27264.37590,59471,26245.90000,28353.20000,2
1609088018.161651,26718.40000,26706.40000,26706.50000,10654.96793825,27264.32520,59483,26245.90000,28353.20000,2
